Nature of complaint,Category
rms device issue(log history not showing),KRMS & Sensors
stop valve gland nut damaged,Valves & Solenoids
hp suction strainer element damaged.,Others
krms smps burned,KRMS & Sensors
lp oil pressure not develop,Oil Pump
lp discharge pipe crack,Leaks (General)
connecting rod bolts not fitted properly,Major Mechanical
hp strainer wire mesh damaged / torn out,Others
abnormal noise & shaft seal leakage,Shaft Seal
hp con rod be bearing wornout,Major Mechanical
cylinder overheatingdelivery valve leakage,Cylinder & Overheating
leak from panel boardtee threading damaged and leak,Electrical & Instruments
krms issuerms devise malfunctioning,KRMS & Sensors
pressure gauge outpointer below zero,Electrical & Instruments
hammer found in crankcase oil sump,Others
krms panel issuedischarge tempararture  sensor not working cable is broken,KRMS & Sensors
oil separator welding leakage,Leaks (General)
"cylinder overheating, del valve ring spring broken",Cylinder & Overheating
kcx low oil pressure problemhigh intermidiate pressure & liquid entry,Oil Pump
pressure switch mp55a malfuctioning,Electrical & Instruments
shaft key loose,Others
coupling diskpack crack,Coupling & Drive
rms device malfuctioning,KRMS & Sensors
safety valve leakage,Valves & Solenoids
crankcase shell crack,Leaks (General)
hp discharge pipe welding crack,Leaks (General)
paint blistering on discharge pipe bend,Others
discharge temp sensor burnt.,KRMS & Sensors
vbelt loose,Coupling & Drive
oil carryoverpiston ring set worn out,Cylinder & Overheating
oil liftingcylinder liner & piston ring set wornout,Cylinder & Overheating
oil carryoverdelivery valve leak,Valves & Solenoids
kcx oil pressure not developingopr malfunctioning,Oil Pump
krms pressure sensor cable not working,KRMS & Sensors
extended female adaptor damaged in transportation,Others
discharge temparature sensor malfunctioning,KRMS & Sensors
krms discharge temparature sensor malfunctioning,KRMS & Sensors
krmspressure transducer short supply,KRMS & Sensors
discharge stop valve threading damaged,Valves & Solenoids
oil carryoverknocking sound,Sound & Vibration
delivery valve leakge,Valves & Solenoids
kcx oil pump pressure not stable,Oil Pump
pressure gauge glycerin leak & gauge out,Electrical & Instruments
kc suction filter housing leak,Leaks (General)
kcx low oil pressure problem,Oil Pump
discharge flange bend,Others
asme oil separator 80 demister float valve position wrong,Others
piston overheatingdel valve leak,Cylinder & Overheating
high oil carryoverdelivery valve leakage,Valves & Solenoids
abnormal noisebuffer spring shrinkage,Sound & Vibration
krms issuesmps and controller not working,KRMS & Sensors
abnormal noisecylinder siezed,Sound & Vibration
retainer plate damaged,Others
wrong name plate,Others
wrong name plate  of demister oil separators,Others
pressure gauge glyceryne leakage,Electrical & Instruments
suction oil filter spring missing,Others
pressure transducer threading damaged at field by tl service engineer,KRMS & Sensors
coil burnt at the time of commisioning,Electrical & Instruments
guage found damage at the time of comissioning,Others
kcx oil pump pressure issue,Oil Pump
pressuere gauge not working,Electrical & Instruments
suction pressure  gauge malfuctioning problem,Electrical & Instruments
suction pressure guage not working,Others
abnormal noise observed on liner(hp),Sound & Vibration
shaft sheal assembly problem,Shaft Seal
solenoid coil issue,Valves & Solenoids
krms(discharge temparature sensor fault),KRMS & Sensors
krmsdischarge temparature sensor broken,KRMS & Sensors
discharge temparature sensor broken,KRMS & Sensors
abnormal noise observed,Sound & Vibration
ammonia pressure guage faulty,Others
burn solenoid coil,Valves & Solenoids
crack on elbow connector,Others
